path,filename,word,phrase,upload_date,token
/content/asl_app_data/dictionary/SG ASL ADHD 1 2023-8-16 CC.mp4,SG ASL ADHD 1 2023-8-16 CC.mp4,ADHD,,2023-8-16,
/content/asl_app_data/dictionary/SG ASL ASL Alt 1 2023-9-5 CC.mp4,SG ASL ASL Alt 1 2023-9-5 CC.mp4,ASL,,2023-9-5,
/content/asl_app_data/dictionary/SG ASL ASL Writing 2023-9-5 CC.mp4,SG ASL ASL Writing 2023-9-5 CC.mp4,,ASL Writing,2023-9-5,
/content/asl_app_data/dictionary/SG ASL ASL Zone 2023-9-6 CC.mp4,SG ASL ASL Zone 2023-9-6 CC.mp4,,ASL Zone,2023-9-6,
/content/asl_app_data/dictionary/SG ASL ATM 2 2023-10-12 CC.mp4,SG ASL ATM 2 2023-10-12 CC.mp4,ATM,,2023-10-12,
/content/asl_app_data/dictionary/SG ASL Alaska Alt 2 2023-5-12.mkv,SG ASL Alaska Alt 2 2023-5-12.mkv,Alaska,,2023-5-12,
/content/asl_app_data/dictionary/SG ASL Albania 1 2023-5-15.mkv,SG ASL Albania 1 2023-5-15.mkv,Albania,,2023-5-15,
/content/asl_app_data/dictionary/SG ASL Albeit 2 2023-5-16.mkv,SG ASL Albeit 2 2023-5-16.mkv,Albeit,,2023-5-16,
/content/asl_app_data/dictionary/SG ASL Alberta 2023-5-16.mkv,SG ASL Alberta 2023-5-16.mkv,Alberta,,2023-5-16,
/content/asl_app_data/dictionary/SG ASL Alcohol 2023-5-17.mkv,SG ASL Alcohol 2023-5-17.mkv,Alcohol,,2023-5-17,
/content/asl_app_data/dictionary/SG ASL Alcoholic 2 2023-5-16.mkv,SG ASL Alcoholic 2 2023-5-16.mkv,Alcoholic,,2023-5-16,
/content/asl_app_data/dictionary/SG ASL Alcoholic Anonymous 2 2023-5-17.mkv,SG ASL Alcoholic Anonymous 2 2023-5-17.mkv,,Alcoholic Anonymous,2023-5-17,
