path,word,token,phrase,upload_date
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL V/SG ASL Valentine's Day 2025-2-14 Upload/Documentation/SG ASL Valentine's Day 2025-2-14 GIF.gif,valentine's day,VALENTINE'S DAY,Valentine's Day,2025-2-14
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL V/SG ASL Valentine's Day 2025-2-14 Upload/Documentation/SG ASL Valentine's Day 2025-2-14.mkv,valentine's day,VALENTINE'S DAY,Valentine's Day,2025-2-14
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL V/SG ASL Valentine's Day 2025-2-14 Upload/Documentation/SG ASL Valentine's Day 2025-2-14 CC.mp4,valentine's day,VALENTINE'S DAY,Valentine's Day,2025-2-14
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL F/SG ASL Future Near 2025-7-23 Upload/Documentation/SG ASL Future Near 2025-7-23 Captions.webm,future near,FUTURE NEAR,Future Near,2025-7-23
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL F/SG ASL Future Var 2025-7-23 Upload/Documentation/SG ASL Future Var 2025-7-23 Captions.webm,future var,FUTURE VAR,Future Var,2025-7-23
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL F/SG ASL Future 2025-7-23 Upload/Documentation/SG ASL Future 2025-7-23 Captions.webm,future,FUTURE,Future,2025-7-23
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL P/SG ASL Please 2024-10-13 Upload/Documentation/SG ASL Please 2024-10-13 GIF.gif,please,PLEASE,Please,2024-10-13
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL P/SG ASL Please 2024-10-13 Upload/Documentation/SG ASL Please 2024-10-13.mkv,please,PLEASE,Please,2024-10-13
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL P/SG ASL Please 2024-10-13 Upload/Documentation/SG ASL Please 2024-10-13 CC.mp4,please,PLEASE,Please,2024-10-13
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL E/SG ASL Eclipse 2024-4-8 Upload/Documentation/SG ASL Eclipse 2024-4-8 GIF.gif,eclipse,ECLIPSE,Eclipse,2024-4-8
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL E/SG ASL Eclipse 2024-4-8 Upload/Documentation/SG ASL Eclipse 2024-4-8 CC.mp4,eclipse,ECLIPSE,Eclipse,2024-4-8
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL E/SG ASL Eclipse 2024-4-8 Upload/Documentation/SG ASL Eclipse 2024-4-8.mkv,eclipse,ECLIPSE,Eclipse,2024-4-8
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL E/SG ASL Everyone 2025-7-23 Upload/Documentation/SG ASL Everyone 2025-7-23 Captions.webm,everyone,EVERYONE,Everyone,2025-7-23
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL E/SG ASL Equal Status 2025-7-23 Upload/Documentation/SG ASL Equal Status 2025-7-23 Captions.webm,equal status,EQUAL STATUS,Equal Status,2025-7-23
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL E/SG ASL Equal 2025-7-23 Upload/Documentation/SG ASL Equal 2025-7-23 Captions.webm,equal,EQUAL,Equal,2025-7-23
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL W/SG ASL Where Var 2025-7-24 Upload/Documentation/SG ASL Where Var 2025-7-24 Captions.webm,where var,WHERE VAR,Where Var,2025-7-24
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL W/SG ASL Which Var 2025-7-22/SG ASL Which Var 2025-7-22.webm,which var,WHICH VAR,Which Var,2025-7-22
